TradeID,Instrument,Bucket,Delta,Vega1Y,Vega3Y,Vega5Y,Vega10Y,CurvatureUp,CurvatureDown,Spot,Volatility
TRD001,AAPL,1,150000,5000,4500,4000,3500,2100,1850,175.50,0.25
TRD002,MSFT,1,200000,6000,5500,5000,4500,2800,2600,380.25,0.22
TRD003,GOOGL,1,-180000,5500,5000,4500,4000,2500,2200,142.80,0.24
TRD004,NVDA,1,280000,9000,8500,8000,7500,3920,3640,875.30,0.38
TRD005,BABA,2,95000,3400,3200,3000,2600,1330,1235,85.40,0.35
TRD006,PDD,2,-115000,4100,3900,3600,3200,1610,1495,128.90,0.38
TRD007,TSMC,2,88000,3100,2900,2700,2300,1232,1144,102.15,0.28
TRD008,JPM,3,120000,4000,3800,3500,3000,1680,1560,185.90,0.20
TRD009,BAC,3,95000,3500,3200,3000,2500,1330,1235,34.75,0.21
TRD010,GS,3,135000,4500,4200,3900,3500,1890,1755,485.20,0.22
TRD011,WFC,3,-108000,3800,3600,3300,2900,1512,1404,52.80,0.23
TRD012,SBUX,4,67000,2400,2200,2000,1700,938,871,98.60,0.24
TRD013,NKE,4,-72000,2700,2500,2300,1900,1008,936,78.50,0.26
TRD014,TGT,4,55000,2000,1850,1700,1450,770,715,145.30,0.22
TRD015,XOM,5,-75000,2500,2300,2100,1800,1050,975,112.40,0.28
TRD016,CVX,5,60000,2200,2000,1800,1500,840,780,158.30,0.27
TRD017,COP,5,67000,2300,2100,1900,1600,938,871,128.75,0.30
TRD018,VALE,6,95000,3400,3200,3000,2600,1330,1235,12.85,0.35
TRD019,BHP,6,88000,3100,2900,2700,2300,1232,1144,58.90,0.28
TRD020,RIO,6,-76000,2700,2500,2300,1900,1064,988,62.15,0.29
TRD021,JNJ,7,110000,3800,3500,3200,2800,1540,1430,162.45,0.18
TRD022,PFE,7,-85000,3200,3000,2800,2400,1190,1105,28.90,0.26
TRD023,LLY,7,165000,5500,5200,4900,4500,2310,2145,785.60,0.25
TRD024,ABBV,7,125000,4300,4100,3800,3400,1750,1625,175.35,0.20
TRD025,MRK,8,78000,2800,2600,2400,2000,1092,1014,118.70,0.21
TRD026,BMY,8,-65000,2400,2200,2000,1700,910,845,52.40,0.23
TRD027,WMT,9,140000,4200,4000,3700,3300,1960,1820,165.80,0.19
TRD028,PG,9,105000,3600,3400,3100,2700,1470,1365,152.30,0.17
TRD029,KO,9,98000,3300,3100,2900,2500,1372,1274,61.20,0.16
TRD030,PEP,9,102000,3500,3300,3000,2600,1428,1326,172.45,0.17
TRD031,TSLA,10,-250000,8000,7500,7000,6500,3500,3250,248.50,0.45
TRD032,AMZN,10,190000,6500,6000,5500,5000,2660,2470,178.25,0.32
TRD033,DIS,10,88000,3000,2800,2600,2200,1232,1144,95.60,0.29
TRD034,MCD,10,87000,3000,2800,2600,2200,1218,1131,298.75,0.18
TRD035,UNKNOWN1,11,45000,1600,1500,1400,1200,630,585,15.40,0.42
TRD036,UNKNOWN2,11,-38000,1400,1300,1200,1000,532,494,8.75,0.48
TRD037,SPX,12,320000,10000,9500,9000,8500,4480,4160,4850.00,0.15
TRD038,NDX,12,280000,9000,8500,8000,7500,3920,3640,17250.00,0.18
TRD039,DJI,12,-245000,7500,7000,6500,6000,3430,3185,38500.00,0.13
TRD040,QQQ,12,195000,6200,5800,5400,5000,2730,2535,395.00,0.17
TRD041,XLF,13,125000,4200,4000,3700,3300,1750,1625,38.50,0.16
TRD042,XLE,13,-98000,3500,3300,3000,2700,1372,1274,82.40,0.22
TRD043,XLK,13,145000,4800,4500,4200,3800,2030,1885,185.75,0.19
TRD044,XLV,13,108000,3700,3500,3200,2800,1512,1404,142.90,0.17
TRD045,XLY,13,-88000,3200,3000,2800,2400,1232,1144,178.20,0.21
